paper_float,quantity_reported,driver,file_in_release,field,exists,content,verified
eq:headline,reported enclosure of lambda_1(R^3) on Omega_2,run_cert_g.jl SL1,certificates/jcp2026/cert_SL1_neumann.json,CERTIFIED_ENCLOSURE.lambda1_lower / .lambda1_upper / .width,ok,2/2,verified 2/2 primary values
tab:certified,"Omega_1, Omega_2: width, margin, admissibility pair",run_cert_g.jl SL8 | SL1,"certificates/jcp2026/cert_SL8_stagelg.json, cert_SL8_dir_encl.json, cert_SL1_neumann.json",Om_1 lower: lambda1_lower_certified; Om_1 upper: mu1_galerkin[1]; Om_2: CERTIFIED_ENCLOSURE,ok,0/5  <-- SHORTFALL,verified: CERTIFIED_ENCLOSURE.width reproduces every row
tab:certified,"three-centre rows D1, D3a, D3c (not bounds on lambda_1)",run_cert.jl D1 | D3a | D3c,"certificates/cert_cmatch_D1.json, cert_cmin_D3a.json, cert_cmin_D3c.json",CERTIFIED_ENCLOSURE,ok,0/5  <-- SHORTFALL,verified: CERTIFIED_ENCLOSURE.width reproduces every row
tab:configs,"box, basis and stage resolutions",the same certificates,"certificates/jcp2026/cert_SL8_stageA.json, cert_SL1_stageA.json, cert_SL8_stagemu2.json, cert_SL1_stagemu2.json",N; Nprime; N_stageA; Nprime_sep_configured,ok,not probed,not machine-verified
tab:headline-tiers,"Omega_2 certificate: rho, A_2, B, nu_1, admissibility gate",run_cert_g.jl SL1,certificates/jcp2026/cert_SL1_stagelg.json,"separator_variants.certified_oee_mu2: rho, B, nu; A2; goerisch_variants.0.65",ok,4/6  <-- SHORTFALL,verified 3/3 primary values
tab:stagea,"certified Stage A on Omega_2: epsilon, eta, sigma, L_k",run_cert_g.jl SL1,"certificates/corrected/results_final.json, certificates/corrected/gates_record.json",stages.A,ok,2/8  <-- SHORTFALL,"pre-shift campaign; source spans several files, not machine-verified"
tab:ceps-cert,certified coercivity shift C_eps at both boxes,run_ceps.jl,certificates/jcp2026/ceps_certified.json,results.N_aux=<N>.eps=<e>.Ceps_cert,ok,7/7,verified 2/2 primary values
tab:formfactor-all,certified tail-refined form factor eta_V^2,run_formfactor_all.jl,"certificates/sector_free/formfactor_eee_N48_sig1p8146568831188563.json, formfactor_eee_N56_sig1p991749904742849.json, formfactor_eoe_N48_*.json, formfactor_eoe_N56_*.json",eta_prime_sq_certified_upper (one file per configuration and block),ok,no probes,"per-configuration files identified; values are bracket ranges, not machine-verified"
tab:sepfree,the three Theorem-18 candidates on Omega_2 and the clearance margin,run_formfactor.jl eee | eoe,certificates/sector_free/assumption_free_separator.csv,row cfg=SL1: L_l2_eee; L_l1_eoe; rho_rec; margin_to_rho,ok,3/4  <-- SHORTFALL,verified 2/2 primary values
tab:dir,two-sided Dirichlet brackets and the truncation bias,run_cert_gd.jl,"certificates/jcp2026/cert_SL8_dirLG.json, cert_SL1_dirLG.json",CERTIFIED_LOWER; lambda1D_upper,ok,4/6  <-- SHORTFALL,verified 1/1 primary values
tab:cost,per-stage wall time and peak memory of the two certified runs,the same certificates,certificates/jcp2026/ (every cert_SL8_* and cert_SL1_* file),wall_seconds; peak_rss_gb,ok,not probed,not machine-verified
tab:mu3-needed,mu_1 lower bound with and without the intermediate mu_2 step,run_cert_g.jl,"certificates/corrected/gates_record.json, certificates/unconditional_mu2_separator.json",separator_variants.<source>.L1_LG,ok,0/8  <-- SHORTFALL,"pre-shift campaign; source spans several files, not machine-verified"
tab:audit,exact/approximate audit of every pipeline step,cert_selftest.jl,exit status,-,ok,not probed,not machine-verified
tab:sigmaloc-cert,the three admissible shifts compared end to end on Omega_2,run_cert_g.jl SL1,"certificates/corrected/results_final.json, certificates/cert_etashift_SL1.json",goerisch_variants.<eps_prime>.L1_LG,ok,0/8  <-- SHORTFALL,"pre-shift campaign; source spans several files, not machine-verified"
tab:noassume,cost of removing the sector identification,run_cert_g.jl SL1,"certificates/corrected/gates_record.json, certificates/dirichlet_brackets_all_domains.json",separator_variants.stageA_L2.L1_LG,ok,0/2  <-- SHORTFALL,"pre-shift campaign; source spans several files, not machine-verified"
tab:reduction,what the parity reduction saves,run_cert_g.jl / run_cert_gs.jl,certificates/jcp2026/cert_SL1_stagelg.json,D_aux; wall_seconds,ok,not probed,not machine-verified
tab:symfree,the certified chain without the parity reduction,run_cert_gs.jl,certificates/symmetry_free_stageA.json,"rows[*]: eta2, mu2N, L2, peak_gb, wall_s",ok,6/6,verified 2/2 primary values
fig:framework,schematic; no computed data,-,-,-,ok,not probed,not machine-verified
fig:twosided,brackets for both boundary conditions at matched resolution,figure_scripts/fig2_twosided.py,"certificates/jcp2026/cert_SL1_stagelg.json, certificates/dirichlet_brackets_all_domains.json, data/approx_mode_rows.csv",named in the generator header,ok,not probed,not machine-verified
fig:optimalbox,enclosure width against box size,run_sweep.jl then build_surface.py,data/optimal_box_surface.csv,enclosure_width,ok,not probed,not machine-verified
fig:convergence,"two convergence diagnostics at N=32,48",figure_scripts/fig3_convergence.py,"figure_scripts/figs.json, certificates/certified_stage2_final.json, certificates/upper_lower_truncation.json",fig3.stageA_width -> rows[*].bracket_w; fig3.stageB_width -> rows[*].bracket_width,ok,not probed,not machine-verified
